ShallowNet,LeNet,AlexNet,VGGNet,CXNet,CoviXNet
0.568511426,0.520801544,0.548664093,0.671946585,0.791984737,0.536450386
0.629770994,0.561068714,0.571946561,0.777862608,0.867938936,0.56183207
0.662213743,0.631488562,0.609160304,0.803244293,0.889503837,0.590839684
0.651717544,0.650381684,0.61277777,0.826145053,0.896946549,0.596183181
0.644444466,0.67538166,0.622519076,0.835305333,0.905343533,0.630343497
0.633587778,0.683778644,0.642175555,0.842175543,0.90152669,0.665648878
0.611641228,0.692366421,0.64103055,0.852862597,0.907633603,0.6703704
0.680534363,0.68587786,0.677862585,0.859923661,0.921755731,0.651335895
0.665267169,0.696374059,0.711641192,0.854961812,0.923282444,0.696755707
0.633396924,0.699999988,0.722709894,0.871481478,0.925572515,0.702480912
0.663358808,0.709351122,0.745610714,0.874045789,0.926335871,0.693129778
0.680343509,0.696564913,0.722328246,0.876145065,0.925954223,0.725381672
0.668702304,0.70877862,0.745370388,0.879389286,0.925572515,0.726335883
0.705725193,0.711259544,0.741793871,0.883015275,0.930916011,0.735305369
0.708587766,0.709351122,0.763358772,0.898664117,0.942557275,0.736641228
0.718702316,0.714312971,0.774045825,0.892175555,0.935305357,0.743893147
0.671755731,0.710305333,0.786450386,0.896183193,0.936641216,0.760305345
0.696564913,0.720419824,0.773473263,0.895419836,0.947519064,0.710877836
0.718893111,0.718511462,0.781679392,0.900763333,0.946755707,0.756679416
0.721183181,0.730916023,0.784541965,0.893702269,0.949809134,0.767557263
0.716030538,0.716030538,0.80725193,0.906106889,0.928435087,0.773282468
0.729580164,0.723664105,0.771564901,0.910114527,0.939312994,0.774045825
0.719083965,0.735370398,0.811641216,0.887213767,0.945610702,0.777290106
0.726717532,0.727862597,0.733396947,0.911832035,0.950954199,0.790076315
0.723091602,0.734732807,0.787977099,0.906297684,0.95286262,0.783396959
0.72480917,0.726145029,0.796183228,0.90935117,0.951526701,0.780725181
0.742748082,0.727671742,0.811641216,0.910687029,0.95648855,0.788549602
0.685496211,0.750190854,0.79351145,0.913358808,0.955916047,0.800190866
0.701717556,0.737022877,0.825954199,0.923664093,0.964503825,0.792366385
0.69961834,0.738167942,0.817175567,0.917748094,0.962022901,0.799427509
0.714122117,0.743511438,0.825572491,0.925954223,0.952480912,0.782251894
0.71335876,0.739313006,0.818511426,0.920229018,0.969274819,0.803435087
0.655916035,0.745992362,0.827671766,0.916412234,0.961832047,0.808015287
0.688549638,0.744083941,0.824444473,0.923664093,0.967748106,0.808396935
0.727480888,0.744847357,0.828435123,0.929580152,0.968702316,0.809923649
0.728435099,0.755152643,0.820992351,0.924809158,0.964885473,0.797900736
0.707061052,0.748854935,0.840458035,0.923282444,0.966603041,0.793320596
0.631488562,0.741793871,0.823282421,0.935496211,0.967175543,0.809923649
0.645801544,0.761068702,0.821564913,0.921564877,0.965267181,0.816603065
0.670610666,0.746564865,0.834160328,0.934814811,0.95419848,0.823854983
0.694847345,0.747900784,0.840267181,0.929007649,0.969274819,0.817175567
0.706106842,0.763167918,0.846374035,0.93587786,0.966412187,0.82690841
0.702480912,0.761259556,0.854629636,0.934351146,0.960305333,0.819656491
0.712404609,0.760114491,0.83015269,0.935305357,0.977862597,0.822137415
0.716030538,0.755916059,0.828053415,0.934923649,0.970610678,0.83244276
0.725572526,0.758969486,0.832251906,0.936068714,0.977480888,0.832633615
0.725000024,0.752862573,0.843320608,0.937407434,0.976908386,0.82003814
0.72938931,0.759351134,0.851526737,0.939312994,0.973664105,0.829007626
0.730725169,0.764885485,0.851335883,0.938931286,0.959732831,0.825572491
0.736832082,0.769656479,0.857442737,0.937404573,0.968702316,0.83244276
