ShallowNet,LeNet,AlexNet,VGGNet,CXNet,CoviXNet
0.594166696,0.556666672,0.567499995,0.460833341,0.580833316,0.546666682
0.655833304,0.620833337,0.617500007,0.445833325,0.439999998,0.549166679
0.589999974,0.62166667,0.648333311,0.455833346,0.433333337,0.561666667
0.610833347,0.668333352,0.676666677,0.419166654,0.463333338,0.656666696
0.657500029,0.67750001,0.67750001,0.439166665,0.458333343,0.55250001
0.619166672,0.680000007,0.50333333,0.5,0.459166676,0.686666667
0.667500019,0.666666687,0.707499981,0.602500021,0.462500006,0.606666684
0.691666663,0.683333337,0.704166651,0.497500002,0.461666673,0.675833344
0.614166677,0.685000002,0.709166646,0.560000002,0.451666653,0.643333316
0.61833334,0.68416667,0.720833361,0.507499993,0.574166656,0.698333323
0.682500005,0.679166675,0.729166687,0.605833352,0.500833333,0.696666658
0.578333318,0.701666653,0.712499976,0.627499998,0.460000008,0.705833316
0.67750001,0.69083333,0.737500012,0.577499986,0.543333352,0.709166646
0.69083333,0.685833335,0.750833333,0.465833336,0.471666664,0.701666653
0.704999983,0.691666663,0.735833347,0.535000026,0.639166653,0.723333359
0.615833342,0.712499976,0.740833342,0.648333311,0.720833361,0.728333354
0.678333342,0.685833335,0.74666667,0.546666682,0.705833316,0.734166682
0.675000012,0.673333347,0.739166677,0.704999983,0.762499988,0.725833356
0.692499995,0.680000007,0.700833321,0.702499986,0.839166641,0.752499998
0.705833316,0.688333333,0.763333321,0.764999986,0.745833337,0.730000019
0.723333359,0.69083333,0.778333306,0.643333316,0.455833346,0.748333335
0.694999993,0.711666644,0.785833359,0.750833333,0.479999989,0.768333316
0.682500005,0.685833335,0.790833354,0.773333311,0.584999979,0.752499998
0.649999976,0.696666658,0.660000026,0.667500019,0.735833347,0.74666667
0.691666663,0.703333318,0.790833354,0.785000026,0.600000024,0.764999986
0.663333356,0.699166656,0.795833349,0.764999986,0.730833352,0.755833328
0.508333325,0.693333328,0.788333356,0.742500007,0.522499979,0.764999986
0.67750001,0.709999979,0.813333333,0.750833333,0.601666689,0.791666687
0.656666696,0.700833321,0.814999998,0.683333337,0.776666641,0.772499979
0.699166656,0.710833311,0.813333333,0.700833321,0.63166666,0.780833304
0.688333333,0.722500026,0.8125,0.728333354,0.625833333,0.795000017
0.601666689,0.688333333,0.814999998,0.734166682,0.534166694,0.793333352
0.665833354,0.699999988,0.785000026,0.799166679,0.548333347,0.794166684
0.693333328,0.705833316,0.786666691,0.527499974,0.716666639,0.798333347
0.688333333,0.701666653,0.774166644,0.730833352,0.750833333,0.793333352
0.736666679,0.725000024,0.814166665,0.736666679,0.591666639,0.74000001
0.595000029,0.710833311,0.787500024,0.766666651,0.659166694,0.790000021
0.630833328,0.724166691,0.775833309,0.81916666,0.730833352,0.80250001
0.649999976,0.725000024,0.814999998,0.774166644,0.644999981,0.81916666
0.683333337,0.720833361,0.808333337,0.714166641,0.55250001,0.795833349
0.6875,0.716666639,0.829999983,0.696666658,0.545000017,0.814166665
0.67750001,0.721666694,0.80250001,0.823333323,0.732500017,0.798333347
0.675000012,0.723333359,0.844166696,0.702499986,0.547500014,0.817499995
0.712499976,0.715833306,0.837499976,0.536666691,0.518333316,0.823333323
0.717499971,0.727500021,0.838333309,0.740833342,0.786666691,0.8125
0.704166651,0.724166691,0.824999988,0.80916667,0.643333316,0.790833354
0.696666658,0.740833342,0.824166656,0.792500019,0.612500012,0.791666687
0.725833356,0.722500026,0.850000024,0.784166694,0.704166651,0.833333313
0.709999979,0.723333359,0.836666644,0.783333361,0.529999971,0.830833316
0.715833306,0.734166682,0.810000002,0.806666672,0.768333316,0.814999998
